         2525533 function calls (2394133 primitive calls) in 0.496 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.004    0.004    0.519    0.519 profile_compiler.py:23(run_tests)
     2100    0.002    0.000    0.204    0.000 aifpl_compiler.py:194(compile)
23400/2100    0.013    0.000    0.198    0.000 aifpl_compiler.py:224(_compile_expression)
8700/2100    0.006    0.000    0.192    0.000 aifpl_compiler.py:275(_compile_list)
     2100    0.055    0.000    0.162    0.000 aifpl_tokenizer.py:11(tokenize)
     2100    0.000    0.000    0.148    0.000 aifpl_parser.py:45(parse)
39400/2100    0.016    0.000    0.148    0.000 aifpl_parser.py:82(_parse_expression)
12500/2100    0.027    0.000    0.147    0.000 aifpl_parser.py:311(_parse_list)
  900/600    0.004    0.000    0.113    0.000 aifpl_compiler.py:500(_compile_let)
1500/1000    0.007    0.000    0.083    0.000 aifpl_compiler.py:712(_compile_lambda)
  900/600    0.002    0.000    0.078    0.000 aifpl_parser.py:343(_parse_let_with_tracking)
1200/1000    0.002    0.000    0.075    0.000 aifpl_compiler.py:633(_compile_single_let_binding)
  900/800    0.002    0.000    0.064    0.000 aifpl_parser.py:408(_parse_let_bindings)
    14600    0.010    0.000    0.061    0.000 aifpl_parser.py:125(_push_paren_frame)
1200/1000    0.003    0.000    0.059    0.000 aifpl_parser.py:453(_parse_single_binding)
5100/3400    0.006    0.000    0.057    0.000 aifpl_compiler.py:959(_compile_function_call)
  800/700    0.001    0.000    0.044    0.000 aifpl_compiler.py:354(_compile_if)
   186500    0.018    0.000    0.035    0.000 {built-in method builtins.isinstance}
    17800    0.020    0.000    0.035    0.000 aifpl_tokenizer.py:473(_read_symbol)
     7100    0.004    0.000    0.035    0.000 aifpl_tokenizer.py:440(_read_number)
      400    0.004    0.000    0.033    0.000 aifpl_compiler.py:1124(_compile_match)
    14600    0.021    0.000    0.032    0.000 aifpl_parser.py:174(_detect_expression_type)
    43900    0.014    0.000    0.032    0.000 aifpl_compiler.py:140(emit)
   538500    0.025    0.000    0.025    0.000 {built-in method builtins.len}
      900    0.002    0.000    0.021    0.000 aifpl_dependency_analyzer.py:21(analyze_let_bindings)
      500    0.001    0.000    0.021    0.000 aifpl_compiler.py:1039(_compile_higher_order_function)
     1500    0.000    0.000    0.019    0.000 aifpl_compiler.py:866(_find_free_variables)
14800/1500    0.008    0.000    0.019    0.000 aifpl_compiler.py:881(_collect_free_vars)
    89300    0.009    0.000    0.017    0.000 <frozen abc>:117(__instancecheck__)
11700/1200    0.009    0.000    0.015    0.000 aifpl_dependency_analyzer.py:65(_find_free_variables)
    14600    0.009    0.000    0.015    0.000 aifpl_parser.py:221(_get_context_snippet)
1600/1100    0.001    0.000    0.015    0.000 aifpl_compiler.py:1241(_compile_pattern)
    12700    0.007    0.000    0.015    0.000 aifpl_compiler.py:111(resolve_variable)
   189700    0.014    0.000    0.014    0.000 {method 'append' of 'list' objects}
     5600    0.002    0.000    0.013    0.000 aifpl_compiler.py:265(_compile_variable_load)
