         57681123 function calls (57345123 primitive calls) in 10.812 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3360    0.004    0.000   11.139    0.003 /Users/dave/github/m6r/humbug/src/aifpl/aifpl_vm.py:97(execute)
339360/3360    2.564    0.000   11.128    0.003 /Users/dave/github/m6r/humbug/src/aifpl/aifpl_vm.py:126(_execute_frame)
  1693440    0.989    0.000    4.692    0.000 /Users/dave/github/m6r/humbug/src/aifpl/aifpl_vm.py:554(_op_call_builtin)
  1693440    0.483    0.000    3.291    0.000 /Users/dave/github/m6r/humbug/src/aifpl/aifpl_vm.py:628(_call_builtin)
   336000    0.228    0.000    3.175    0.000 /Users/dave/github/m6r/humbug/src/aifpl/aifpl_vm.py:442(_op_call_function)
   336000    0.108    0.000    2.863    0.000 /Users/dave/github/m6r/humbug/src/aifpl/aifpl_vm.py:615(_call_bytecode_function)
  1693440    0.498    0.000    2.682    0.000 /Users/dave/github/m6r/humbug/src/aifpl/aifpl_builtins.py:124(call_builtin)
  2704800    1.075    0.000    1.608    0.000 /Users/dave/github/m6r/humbug/src/aifpl/aifpl_vm.py:231(_op_load_var)
 18301920    0.753    0.000    0.753    0.000 {built-in method builtins.len}
   336000    0.242    0.000    0.610    0.000 /Users/dave/github/m6r/humbug/src/aifpl/aifpl_math.py:129(_builtin_star)
  6101760    0.443    0.000    0.443    0.000 {method 'append' of 'list' objects}
  1364160    0.317    0.000    0.423    0.000 /Users/dave/github/m6r/humbug/src/aifpl/aifpl_vm.py:260(_op_store_var)
   339360    0.184    0.000    0.381    0.000 /Users/dave/github/m6r/humbug/src/aifpl/aifpl_collections.py:363(_builtin_null_p)
   336000    0.124    0.000    0.355    0.000 /Users/dave/github/m6r/humbug/src/aifpl/aifpl_collections.py:306(_builtin_rest)
  4754400    0.352    0.000    0.352    0.000 {method 'pop' of 'list' objects}
   336000    0.128    0.000    0.349    0.000 /Users/dave/github/m6r/humbug/src/aifpl/aifpl_collections.py:262(_builtin_cons)
   342720    0.233    0.000    0.319    0.000 /Users/dave/github/m6r/humbug/src/aifpl/aifpl_vm.py:495(_op_tail_call_function)
   342720    0.133    0.000    0.269    0.000 /Users/dave/github/m6r/humbug/src/aifpl/aifpl_vm.py:587(_setup_call_frame)
  4072320    0.249    0.000    0.249    0.000 {built-in method builtins.isinstance}
  1350720    0.165    0.000    0.240    0.000 /Users/dave/github/m6r/humbug/src/aifpl/aifpl_collections.py:551(_ensure_list)
   336000    0.123    0.000    0.232    0.000 /Users/dave/github/m6r/humbug/src/aifpl/aifpl_collections.py:294(_builtin_first)
   336000    0.102    0.000    0.175    0.000 /Users/dave/github/m6r/humbug/src/aifpl/aifpl_math.py:21(_wrap_numeric_result)
   336000    0.123    0.000    0.164    0.000 /Users/dave/github/m6r/humbug/src/aifpl/aifpl_vm.py:275(_op_load_parent_var)
   336000    0.108    0.000    0.158    0.000 /Users/dave/github/m6r/humbug/src/aifpl/aifpl_value.py:226(rest)
   336000    0.098    0.000    0.147    0.000 /Users/dave/github/m6r/humbug/src/aifpl/aifpl_value.py:240(cons)
   672000    0.101    0.000    0.141    0.000 /Users/dave/github/m6r/humbug/src/aifpl/aifpl_math.py:625(_ensure_number)
   339360    0.083    0.000    0.135    0.000 /Users/dave/github/m6r/humbug/src/aifpl/aifpl_vm.py:573(_op_return)
   339360    0.086    0.000    0.131    0.000 /Users/dave/github/m6r/humbug/src/aifpl/aifpl_vm.py:362(_op_jump_if_false)
  1693440    0.126    0.000    0.126    0.000 /Users/dave/github/m6r/humbug/src/aifpl/aifpl_builtins.py:71(has_function)
  1693440    0.126    0.000    0.126    0.000 /Users/dave/github/m6r/humbug/src/aifpl/aifpl_builtins.py:56(get_function)
     3360    0.027    0.000    0.126    0.000 /Users/dave/github/m6r/humbug/src/aifpl/aifpl_collections.py:811(_builtin_range)
  1700160    0.126    0.000    0.126    0.000 {method 'reverse' of 'list' objects}
   339360    0.057    0.000    0.097    0.000 /Users/dave/github/m6r/humbug/src/aifpl/aifpl_collections.py:871(<genexpr>)
   339360    0.049    0.000    0.067    0.000 /Users/dave/github/m6r/humbug/src/aifpl/aifpl_value.py:215(is_empty)
   678720    0.057    0.000    0.057    0.000 /Users/dave/github/m6r/humbug/src/aifpl/aifpl_value.py:478(is_native)
   346080    0.042    0.000    0.042    0.000 /Users/dave/github/m6r/humbug/src/aifpl/aifpl_vm.py:40(__post_init__)
   336000    0.036    0.000    0.036    0.000 /Users/dave/github/m6r/humbug/src/aifpl/aifpl_value.py:219(first)
   342720    0.024    0.000    0.024    0.000 <string>:2(__init__)
   342720    0.022    0.000    0.022    0.000 <string>:14(__eq__)
     6720    0.010    0.000    0.018    0.000 /Users/dave/github/m6r/humbug/src/aifpl/aifpl_vm.py:410(_op_make_closure)
     6720    0.005    0.000    0.005    0.000 {method 'update' of 'dict' objects}
     3360    0.001    0.000    0.005    0.000 /Users/dave/github/m6r/humbug/src/aifpl/aifpl_collections.py:286(_builtin_reverse)
     3360    0.002    0.000    0.003    0.000 /Users/dave/github/m6r/humbug/src/aifpl/aifpl_value.py:248(reverse)
    20160    0.002    0.000    0.002    0.000 /Users/dave/github/m6r/humbug/src/aifpl/aifpl_vm.py:433(<genexpr>)
     6720    0.001    0.000    0.002    0.000 /Users/dave/github/m6r/humbug/src/aifpl/aifpl_vm.py:187(_op_load_const)
     3360    0.001    0.000    0.002    0.000 /Users/dave/github/m6r/humbug/src/aifpl/aifpl_collections.py:258(_builtin_list)
     3360    0.001    0.000    0.001    0.000 /Users/dave/github/m6r/humbug/src/aifpl/aifpl_vm.py:317(_op_load_name)
     3360    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        2    0.000    0.000    0.000    0.000 {built-in method time.perf_counter}


